Date,Open,High,Low,Close*,Adj Close**,Volume
01-03-05,4968.50,5042.00,4886.50,4894.40,4894.40,34739240300.00
01-04-05,4894.40,4994.10,4773.70,4801.70,4801.70,32554037300.00
01-05-05,4801.70,5004.30,4801.70,4964.00,4964.00,61670863200.00
01-06-05,4964.00,5138.20,4964.00,5113.20,5113.20,33009384900.00
01-07-05,5113.20,5308.60,5022.10,5282.30,5282.30,35914811800.00
01-08-05,5282.30,5386.40,5228.10,5296.90,5296.90,28548031300.00
01-09-05,5296.90,5508.40,5296.90,5477.70,5477.70,32549434600.00
01-10-05,5477.70,5515.00,5130.90,5317.30,5317.30,34392061700.00
01-11-05,5317.30,5554.90,5304.90,5423.20,5423.20,39097398000.00
01-12-05,5423.20,5647.20,5423.20,5618.80,5618.80,28936712900.00
01-01-06,5618.80,5796.10,5618.80,5760.30,5760.30,78316945400.00
01-02-06,5760.30,5893.30,5681.90,5791.50,5791.50,37360442700.00
01-03-06,5791.50,6047.00,5783.90,5964.60,5964.60,44156359200.00
01-04-06,5964.60,6137.10,5964.60,6023.10,6023.10,30775738400.00
01-05-06,6023.10,6133.50,5510.50,5723.80,5723.80,80102979800.00
01-06-06,5723.80,5865.70,5467.40,5833.40,5833.40,36016491800.00
01-07-06,5833.40,5982.50,5654.60,5928.30,5928.30,28208524900.00
01-08-06,5928.30,5949.80,5752.60,5906.10,5906.10,29781300900.00
01-09-06,5906.10,6002.90,5774.50,5960.80,5960.80,31844288700.00
01-10-06,5960.80,6244.60,5897.30,6129.20,6129.20,34756904900.00
01-11-06,6129.20,6256.80,6011.80,6048.90,6048.90,35409313400.00
01-12-06,6048.80,6271.40,5985.20,6220.80,6220.80,25404344600.00
01-01-07,6220.80,6335.10,6130.20,6203.10,6203.10,73807766800.00
01-02-07,6203.10,6451.40,6166.20,6171.50,6171.50,33113526800.00
01-03-07,6171.50,6355.30,5989.60,6308.00,6308.00,40662590600.00
01-04-07,6308.00,6516.20,6293.90,6449.20,6449.20,31552436100.00
01-05-07,6449.20,6675.00,6395.50,6621.50,6621.50,40045493000.00
01-06-07,6621.40,6751.30,6451.40,6607.90,6607.90,39617755800.00
01-07-07,6607.90,6754.10,6186.20,6360.10,6360.10,38493758200.00
01-08-07,6360.10,6406.30,5821.70,6303.30,6303.30,38476548200.00
01-09-07,6303.30,6512.40,6123.10,6466.80,6466.80,35732252900.00
01-10-07,6466.80,6751.70,6413.40,6721.60,6721.60,41475583200.00
01-11-07,6721.60,6723.70,6026.90,6432.50,6432.50,32517377600.00
01-12-07,6432.50,6610.90,6251.80,6456.90,6456.90,19604099800.00
01-01-08,6456.90,6534.70,5338.70,5879.80,5879.80,68803306800.00
01-02-08,5879.80,6104.50,5681.50,5884.30,5884.30,28408840600.00
01-03-08,5884.30,5884.30,5414.40,5702.10,5702.10,30218452400.00
01-04-08,5702.10,6134.50,5670.40,6087.30,6087.30,25274143900.00
01-05-08,6087.30,6377.00,6041.10,6053.50,6053.50,23305545700.00
01-06-08,6053.50,6074.50,5470.90,5625.90,5625.90,30958200100.00
01-07-08,5625.90,5625.90,5071.10,5411.90,5411.90,38130751300.00
01-08-08,5411.90,5649.10,5299.70,5636.60,5636.60,23496934500.00
01-09-08,5636.60,5646.50,4671.00,4902.50,4902.50,34049796200.00
01-10-08,4902.50,5052.00,3665.20,4377.30,4377.30,39422701800.00
01-11-08,4377.30,4639.50,3734.10,4288.00,4288.00,26771142200.00
01-12-08,4288.00,4456.20,3973.30,4434.20,4434.20,20068050300.00
01-01-09,4434.20,4675.70,3956.70,4149.60,4149.60,54860251000.00
01-02-09,4149.60,4334.00,3760.70,3830.10,3830.10,24620222700.00
01-03-09,3830.10,3992.40,3460.70,3926.10,3926.10,32520602600.00
01-04-09,3926.10,4293.60,3838.20,4243.70,4243.70,25137931400.00
01-05-09,4243.70,4520.80,4210.80,4417.90,4417.90,22926029100.00
01-06-09,4417.90,4517.60,4213.40,4249.20,4249.20,25379501300.00
01-07-09,4249.20,4646.90,4096.10,4608.40,4608.40,22705926400.00
01-08-09,4608.40,4944.20,4595.60,4908.90,4908.90,20616527400.00
01-09-09,4908.90,5190.00,4776.50,5133.90,5133.90,22518435400.00
01-10-09,5133.90,5299.60,4955.00,5044.60,5044.60,24449723700.00
01-11-09,5044.60,5397.00,4985.10,5190.70,5190.70,21821867000.00
01-12-09,5190.70,5445.20,5175.70,5412.90,5412.90,20435954700.00
01-01-10,5412.90,5600.50,5145.70,5188.50,5188.50,44822673000.00
01-02-10,5188.50,5395.50,5033.00,5354.50,5354.50,25453436500.00
01-03-10,5354.50,5742.80,5354.50,5679.60,5679.60,25031230400.00
01-04-10,5679.60,5833.70,5533.60,5553.30,5553.30,21096454200.00
01-05-10,5553.30,5566.00,4898.50,5188.40,5188.40,61248656600.00
01-06-10,5188.40,5331.50,4898.50,4916.90,4916.90,24401952000.00
01-07-10,4916.90,5411.50,4790.00,5258.00,5258.00,20927401400.00
01-08-10,5258.00,5418.60,5070.90,5225.20,5225.20,18212358900.00
01-09-10,5225.20,5650.30,5225.20,5548.60,5548.60,17869511900.00
01-10-10,5548.60,5794.30,5547.60,5675.20,5675.20,16935426300.00
01-11-10,5675.20,5902.10,5519.20,5528.30,5528.30,19371404300.00
01-12-10,5528.30,6021.50,5528.30,5899.90,5899.90,13805135600.00
01-01-11,5899.90,6090.50,5815.40,5862.90,5862.90,35682249200.00
01-02-11,5862.90,6105.80,5861.00,5994.00,5994.00,16977620800.00
01-03-11,5994.00,6052.10,5591.60,5908.80,5908.80,19735351900.00
01-04-11,5908.80,6091.80,5858.30,6069.90,6069.90,12949138100.00
01-05-11,6069.90,6103.70,5810.50,5990.00,5990.00,35768461600.00
01-06-11,5990.00,5995.20,5644.40,5945.70,5945.70,19032766200.00
01-07-11,5945.70,6084.10,5752.80,5815.20,5815.20,17010630200.00
01-08-11,5815.20,5913.50,4791.00,5394.50,5394.50,25910288200.00
01-09-11,5394.50,5449.70,4928.10,5128.50,5128.50,20702669900.00
01-10-11,5128.50,5747.30,4868.60,5544.20,5544.20,17954993900.00
01-11-11,5544.20,5616.00,5075.20,5505.40,5505.40,21152667800.00
01-12-11,5505.40,5631.90,5328.70,5572.30,5572.30,14853676300.00
01-01-12,5572.30,5806.20,5572.30,5681.60,5681.60,39500705800.00
01-02-12,5681.60,5964.00,5680.70,5871.50,5871.50,19080523000.00
01-03-12,5871.50,5989.10,5726.50,5768.50,5768.50,21190270200.00
01-04-12,5768.50,5890.20,5576.40,5737.80,5737.80,17509200800.00
01-05-12,5737.80,5819.90,5253.90,5320.90,5320.90,19821912700.00
01-06-12,5320.90,5623.90,5229.80,5571.20,5571.20,18244741900.00
01-07-12,5571.20,5727.50,5478.00,5635.30,5635.30,14704975600.00
01-08-12,5635.30,5876.20,5633.00,5711.50,5711.50,13447450000.00
01-09-12,5711.50,5932.60,5634.90,5742.10,5742.10,16517517300.00
01-10-12,5742.10,5928.30,5738.60,5782.70,5782.70,16344114000.00
01-11-12,5782.70,5921.80,5605.60,5866.80,5866.80,16159586000.00
01-12-12,5866.80,5997.00,5852.90,5897.80,5897.80,10068193300.00
01-01-13,5897.80,6354.50,5897.80,6276.90,6276.90,28431772600.00
01-02-13,6276.90,6412.40,6216.70,6360.80,6360.80,14127015100.00
01-03-13,6360.80,6534.00,6308.60,6411.70,6411.70,15791228900.00
01-04-13,6411.70,6501.80,6214.40,6430.10,6430.10,28637721600.00
01-05-13,6430.10,6875.60,6409.80,6583.10,6583.10,15759714300.00
01-06-13,6583.10,6583.10,6023.40,6215.50,6215.50,15906792500.00
01-07-13,6215.50,6662.20,6185.20,6621.10,6621.10,14667037000.00
01-08-13,6621.10,6696.60,6386.70,6412.90,6412.90,13676112800.00
01-09-13,6412.90,6659.10,6412.90,6462.20,6462.20,15309122900.00
01-10-13,6462.20,6819.90,6316.90,6731.40,6731.40,14042142400.00
01-11-13,6731.40,6780.10,6614.00,6650.60,6650.60,12583322200.00
01-12-13,6650.60,6768.40,6422.20,6749.10,6749.10,10796315200.00
01-01-14,6749.10,6867.40,6421.30,6510.40,6510.40,30366406800.00
01-02-14,6510.40,6866.40,6416.70,6809.70,6809.70,17298837700.00
01-03-14,6809.70,6827.20,6492.60,6598.40,6598.40,18328722100.00
01-04-14,6598.40,6794.90,6507.10,6780.00,6780.00,15498792200.00
